58.932, -26.609, 127
58.948, -27.609, 127
58.924, -28.609, 127
58.857, -29.606, 127
58.742, -30.599, 127
58.586, -31.587, 127
58.383, -32.566, 127
58.137, -33.535, 127
57.849, -34.493, 127
57.517, -35.436, 127
57.147, -36.365, 127
56.734, -37.275, 127
56.286, -38.169, 127
55.801, -39.044, 127
55.282, -39.898, 127
54.732, -40.734, 127
54.149, -41.546, 127
53.538, -42.338, 127
52.902, -43.109, 127
52.238, -43.857, 127
51.551, -44.584, 127
50.844, -45.29, 127
50.114, -45.974, 127
49.365, -46.636, 127
48.599, -47.279, 127
47.816, -47.902, 127
47.017, -48.502, 127
46.203, -49.083, 127
45.376, -49.646, 127
44.537, -50.189, 127
43.686, -50.714, 127
42.823, -51.22, 127
41.95, -51.707, 127
41.068, -52.178, 127
40.177, -52.631, 127
39.277, -53.068, 127
38.37, -53.489, 127
37.455, -53.893, 126.177
36.533, -54.28, 124.139
35.605, -54.652, 122.068
34.671, -55.009, 119.961
33.731, -55.351, 117.816
32.786, -55.678, 115.632
31.836, -55.99, 113.405
30.882, -56.289, 111.134
29.923, -56.573, 108.815
28.961, -56.844, 106.446
27.994, -57.101, 104.023
27.024, -57.345, 101.542
26.051, -57.576, 98.999
25.075, -57.794, 96.389
24.097, -57.999, 93.706
23.115, -58.191, 90.944
22.132, -58.371, 88.095
21.146, -58.538, 85.152
20.158, -58.694, 82.102
19.168, -58.837, 78.935
18.177, -58.969, 75.636
17.184, -59.089, 72.186
16.19, -59.197, 68.563
15.195, -59.294, 64.737
14.199, -59.379, 60.67
13.201, -59.453, 56.31
12.203, -59.516, 51.583
11.205, -59.567, 46.377
10.205, -59.607, 40.507
9.206, -59.636, 33.628
8.206, -59.654, 24.917
6.989, -59.664, 0
6.989, -59.664, 0
-13.011, -59.82, 0
endData
255
127
200
58.932, -26.609, 59.719, -46.022, 36.108, -59.664, 6.989, -59.664
#PATH.JERRYIO-DATA {"appVersion":"0.5.1","format":"LemLib v0.4.x (inch, byte-voltage)","gc":{"robotWidth":13.5,"robotHeight":11.5,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":1,"controlMagnetDistance":1.968503937007874,"fieldImage":{"displayName":"VRC 2024 - Over Under","signature":"VRC 2024 - Over Under","origin":{"__type":"built-in"}}},"paths":[{"segments":[{"controls":[{"uid":"SfoFJkZxik","x":58.93182805036907,"y":-26.609213432193858,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"sr6iKaZwT2","x":59.718844984802416,"y":-46.0222978148831,"lock":false,"visible":true,"__type":"control"},{"uid":"1SHWsRMYbq","x":36.10833695180199,"y":-59.66392467839446,"lock":false,"visible":true,"__type":"control"},{"uid":"x6GvYKyDQI","x":6.988710377768124,"y":-59.66392467839446,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"TkNC1RYGut"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":127},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":2,"label":"2"},"step":0.01,"from":0,"to":0.79},"maxDecelerationRate":255},"name":"Path","uid":"yelKx7XORZ","lock":false,"visible":true}]}
